"bot"	"statuses_count"	"default_profile"	"default_profile_image"	"friends_count"	"followers_count"	"favourites_count"	"geo_enabled"	"listed_count"	"account_age_hours"	"diversity"	"mean_mins_between_tweets"	"mean_tweet_length"	"mean_retweets"	"reply_rate"
"0"	30	1	0	333	95	0	0	1	22509	0.345098039216	1942.79245283	120.046728972	2.23404255319	0.0373831775701
"0"	30	1	0	333	95	0	0	1	22509	0.345098039216	1942.79245283	120.046728972	2.23404255319	0.0373831775701
"1"	209	1	1	680	3	0	1	0	38411	0.36231884058	7968.01910828	86.4240506329	1	0
"1"	20	0	0	1706	8	0	1	0	42720	0.708860759494	51000.8235294	59.8888888889	1.5	0.444444444444
"1"	2	1	1	1481	7	2	0	1	24962	1	1741	17.5	1	0.5
"1"	4	0	0	1900	16	2	0	1	35005	0.933333333333	422037	46.25	2	0
"1"	156	1	1	1599	15	29	0	1	52028	0.59674796748	11160.1851852	81.8014705882	1.2	0.183823529412
"1"	181	0	0	1248	7	7	0	1	29021	0.549147034931	409.877094972	171.594444444	1.16666666667	0.111111111111
"1"	2	0	0	1786	23	0	0	0	44712	0.75	67920	111.5	1	1
"1"	2	1	1	1603	13	0	0	0	31181	1	585030	18.5	2	0
"1"	28	0	0	796	10	3	0	1	8319	0.67619047619	3177.44	58.7692307692	1	0.153846153846
"1"	12	1	1	1490	10	1	0	0	35945	0.935483870968	87767.25	38.1111111111	1	0.555555555556
"1"	182	1	1	1766	3	0	0	0	24533	0.334615384615	458.154696133	76.7912087912	1	0
"1"	17	1	0	1018	13	0	0	1	43826	0.873563218391	148794.5	88.1764705882	1	0.470588235294
"1"	78	1	1	1029	2	0	0	0	50626	0.704918032787	33714.1549296	122.861111111	1.11111111111	0
"1"	4	1	1	2002	14	0	0	0	45447	0.928571428571	241301.333333	59	1	0.25
"1"	56	0	0	1218	4	1	0	1	38167	0.417808219178	28978.4313725	35.6346153846	1	0.0769230769231
"1"	25	1	1	1884	25	0	0	0	38145	0.666666666667	84915.826087	41.9166666667	2	0.916666666667
"1"	337	1	1	1626	16	1	0	0	41076	0.21139101862	108.47979798	85.7537688442	1	0.889447236181
"1"	21	0	0	1392	9	0	1	0	48522	0.873015873016	121605.8	29.9523809524	1	0
"1"	54	0	0	1280	11	0	0	0	48209	0.627986348123	17243.24	86.8235294118	2	0.56862745098
"1"	4	1	0	1021	2	0	0	0	53458	0.851851851852	1469.33333333	83.25	1	0.25
"1"	18	1	1	1962	10	0	0	0	50171	0.918604651163	133983.875	105.823529412	1	0
"1"	101	1	0	1514	1	0	0	1	38335	0.655367231638	8247.95652174	111.569892473	1	0
"1"	122	1	1	1217	6	1	1	0	48431	0.703020134228	18391.7619048	114.924528302	1	0.0283018867925
"1"	14	1	0	1844	6	24	0	0	11198	0.941176470588	45523.3076923	64.2857142857	1	0.428571428571
"1"	241	1	0	1973	10	6	0	1	27915	0.474160206718	7141.30681818	81.5084745763	1	0.915254237288
"1"	73	1	0	1230	2	0	0	0	29747	0.230337078652	18055.375	102.301369863	1	0.246575342466
"1"	2	1	1	1627	5	1	0	0	51150	1	2776	24	1	0
"1"	124	1	0	1046	10	5	1	0	26196	0.364155251142	4008.85245902	88.8699186992	1	0.414634146341
"1"	241	0	0	1485	46	27	1	1	37175	0.459064327485	6599.97175141	56.1741573034	1.14814814815	0.224719101124
"1"	688	0	0	1354	63	0	0	2	41333	0.593091828138	3725.83417085	129.555	1	0
"1"	2	1	1	1664	8	0	0	1	46313	1	192125	68	2	0
"1"	18	0	0	1575	49	0	0	0	64331	0.88679245283	196998.066667	47.4375	1	0.125
"1"	2024	1	0	968	41	1	0	2	10138	0.57011258956	48.6569767442	167.549132948	2.3125	0
"1"	13	0	0	2001	45	2	0	0	38248	0.392857142857	180475.75	71.9230769231	1	0
"1"	90	1	0	1964	13	0	0	0	52153	0.673860911271	8376.49438202	77.1222222222	1	0
"1"	8	1	0	1465	10	0	0	0	24819	0.770833333333	130809.666667	79.8571428571	1	0
"1"	35	1	0	1609	3	0	0	0	29311	0.593548387097	84.3823529412	195.257142857	29	0.657142857143
"1"	33	1	0	1928	34	9	0	0	40407	0.731543624161	46252.3870968	74.71875	1.5	0.28125
"1"	19	0	1	1122	12	3	0	0	43184	0.744186046512	86759.3	64	1	0.454545454545
"1"	19	0	0	968	18	21	1	1	41951	0.769230769231	91457	48.7777777778	1	0.833333333333
"1"	12	1	0	1442	28	0	0	0	54291	0.787234042553	17307.3636364	40.6666666667	1	0.0833333333333
"1"	256	0	0	691	31	4	0	0	11340	0.193495934959	2240.72864322	112.075	1	0
"1"	38	1	0	1341	5	0	0	1	33607	0.717842323651	23506.2702703	160.710526316	1	0.0526315789474
"1"	20	1	0	981	8	4	0	0	23426	0.402985074627	50312.7058824	114.333333333	1	0
"1"	187	0	0	1193	14	0	1	0	34382	0.571581196581	3172.74418605	104.74566474	1	0.150289017341
"1"	579	1	0	1302	15	32	0	0	46786	1	190773	28.4	1	0.6
"1"	69	1	0	1489	11	0	0	0	26074	0.941176470588	12635	76.2727272727	1	0.0909090909091
"1"	27	1	0	1959	23	10	0	0	33385	0.75641025641	69075.3157895	44.05	1	0.7
"1"	8	1	0	1025	5	2	0	0	16308	0.880952380952	9252	67.875	1	0
"1"	20	1	0	1263	7	2	0	0	50647	0.851851851852	351222.75	40.8888888889	1	0.222222222222
"1"	104	1	0	927	4	0	0	1	47427	0.677179962894	23498.4468085	122.2	1.11111111111	0.0210526315789
"1"	15	1	0	700	23	1	0	0	37255	0.741379310345	141639.928571	35.8666666667	1	0.333333333333
"1"	347	1	0	609	11	9	0	1	48746	0.251251251251	6143.00699301	102.506944444	2.34285714286	0.0347222222222
"1"	22	0	0	1113	7	6	0	0	25060	0.966292134831	42681.5	97	1	0.315789473684
"1"	10	1	0	1972	37	0	0	0	14811	0.857142857143	14485.2222222	51.9	1	0.2
"1"	57	0	0	1629	28	0	0	0	36164	0.63309352518	9165.73076923	37.9433962264	1	0.830188679245
"1"	19	0	0	1968	19	1	1	1	52844	0.886363636364	134563.555556	57.9473684211	1	0.105263157895
"1"	16	1	0	1923	10	2	0	0	30785	0.875	106569.928571	110.266666667	3	0.466666666667
"1"	236	1	0	797	4	0	0	0	25308	0.519412381952	2000.80512821	110.591836735	1	0.0408163265306
"1"	10	1	0	1154	4	9	1	0	9531	0.925925925926	45787.25	74	1	0.2
"1"	60	1	0	1781	8	0	1	2	32246	0.612903225806	29296.6615385	84.7424242424	1	0.227272727273
"1"	414	0	0	1388	11	6	0	0	45288	0.473891625616	9161.64646465	66.391959799	1	0.281407035176
"1"	1980	0	0	801	39	3	0	1	46805	0.618433179724	7371.00526316	133.109947644	1	0.167539267016
"1"	7	0	0	1586	5	0	0	0	29593	0.863636363636	412311	95.6	1	0.6
"1"	9	1	1	1272	1	0	0	0	27206	1	110212.714286	30.875	1	0.25
"1"	2	1	1	1930	16	0	0	0	54441	1	1139015	102.5	1	0
"1"	18	1	1	1517	6	5	0	0	8521	0.792207792208	21895.952381	54.0454545455	1	0.727272727273
"1"	91	1	0	1725	15	8	0	0	30422	0.69964664311	15541.2105263	67.5844155844	1	0.558441558442
"1"	10	1	0	1193	99	2	0	2	20215	0.955555555556	47622.2222222	116.8	1	0
"1"	19	1	0	1124	9	0	0	0	26040	0.866666666667	175.388888889	59	1	0.105263157895
"1"	3	1	1	1509	25	0	0	0	8797	0.928571428571	101704.5	42.3333333333	1	0.666666666667
